,member_id,member_email,member_name,member_nickname,member_phone,member_gender,member_birth,member_role,created_at,modified_at,deleted_at,refresh_token
0,1046,gyeongsug68@gmail.com,장현주,gimyeongjin,010-2359-3069,Male,1999-01-23,user,2024-02-19 05:41:45.896441,2024-01-26 07:50:55.482923,2024-01-03 06:10:17.162867,4ddaba04ae25f9a10bfbeadebd5f1d01c50eca49baab25a511d83abdb4f0131a
1,676,fha@gmail.com,박현정,bagjieun,010-8470-3845,Male,2001-09-28,user,2024-01-12 02:50:42.526686,2024-01-16 22:50:02.847855,,bf98a3f36305961814a4d2f068f7636991bef5147ea68ce5cd25815e3823c1e6
2,5021,hyeonjii@live.com,김영수,ujin62,010-2022-8267,Male,2005-08-22,user,2024-01-13 07:27:05.256302,2024-01-09 19:49:10.410905,,edd81879a07f07259be4368929ea5dc5225deeeed7906dbe9cf18b4dc1715955
3,8813,yeongsigi@hotmail.com,박정수,seunghyeoncoe,010-3043-1144,Male,2005-08-31,user,2024-01-24 16:41:21.445683,2024-01-24 20:42:09.681452,,c93328ccb1142fd1fdb69c0fdcd81cf20a4dc1e524f973f742eae38922e2af42
4,3347,xu@nate.com,홍하윤,jongsu17,010-3531-8749,Male,2003-02-28,user,2024-02-20 00:56:40.045554,2024-02-09 15:06:05.743431,,383ed9c51cb7081a49c5df6167862ac4dadc9262f69e3e566308d481e204cb5e
5,6325,ijieun@nate.com,김동현,bagseoyun,010-4195-4856,Male,2004-03-03,user,2024-01-25 22:15:53.223267,2024-02-18 22:33:24.606189,,d3037f1d00fc414946e98960d8a499e0f4201174143f5942d3d8ecf023a559a3
6,4396,yeongilu@hotmail.com,이동현,uhwang,010-5851-9019,Male,2002-05-03,user,2024-02-20 15:32:31.271203,2024-01-17 00:20:53.445892,,63971d92180d8f1b91065652a00a10d9522a691be003f96a3da4a63100553e2b
7,7999,seonghyeoni@hotmail.com,이수빈,hyeonji62,010-4028-8271,Male,2003-04-15,user,2024-01-03 06:39:26.021508,2024-01-28 22:59:01.490681,,32d1a7be3484aac9fc41d168c34ff9d74f26bb5b56cf7e8551b7e13dbce3e790
8,7559,seoyeonggim@live.com,강순옥,isujin,010-0949-3221,Male,2000-11-05,user,2024-01-22 00:46:21.598347,2024-01-17 03:40:46.875768,,fce7f8b9e02ccef3c4b4af4498a99792789dc78d74ecd7bdcf8cdfe60ca93232
9,4788,miyeong23@nate.com,이예진,yejun98,010-4359-6326,Male,2006-01-09,user,2024-02-13 17:29:30.888428,2024-02-11 16:18:56.430967,,f53adaab948198d90838bc3ae01f2841a056e4531d6058ae3c84cf0313b5e648
10,4776,dohyeon79@daum.net,최보람,heosumin,010-3376-6072,Male,1999-05-14,user,2024-02-16 14:38:38.433042,2024-02-11 22:25:31.199426,,4ca2cb170c21382ed7f590de11623b87aeb4fb417e34be1a8d3f73161651a566
11,7866,hanjunhyeog@hanmail.net,백준호,junyeong09,010-5707-0489,Male,2001-12-10,user,2024-01-14 01:45:57.846735,2024-02-08 11:27:54.384473,,aad197c8f4ce6a00c8a2d3e6776ccfc315013fe1d7f0481ef7886e4719ee1c7f
